model_label,horizon_bin,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
Ridge,Short,3016.22,2943.28,2374.75,2392.19,1986.39,1830.04,1806.52,1764.7,1727.23,1713.99
Ridge,Medium,4345.56,4511.71,2968.15,2828.53,2528.14,2406.11,2363.28,2313.96,2299.84,2271.94
Ridge,Long,6244.26,5449.49,3287.02,3091.63,2757.16,2597.21,2560.83,2522.09,2494.82,2465.5
Random Forest,Short,1433.59,1237.61,1114.77,1058.49,1009.78,986.21,964.56,951.22,931.97,917.22
Random Forest,Medium,1495.1,1317.74,1214.52,1164.02,1124.68,1077.19,1058.74,1050.93,1040.9,1030.12
Random Forest,Long,1615.31,1488.15,1409.22,1367.26,1337.03,1299.72,1283.29,1269.75,1261.49,1255.04
XGBoost,Short,1424.44,1232.2,1093.63,1051.36,1003.07,965.63,938.25,927.51,905.66,896.63
XGBoost,Medium,1467.13,1335.7,1213.15,1176.09,1133.38,1094.23,1072.97,1054.87,1045.84,1029.13
XGBoost,Long,1620.55,1519.04,1418.93,1374.97,1345.96,1309.9,1291.01,1268.76,1262.64,1255.71
NLinear,Short,2208.57,2137.55,2147.74,2136.01,2112.49,2084.79,2097.65,2062.03,2065.36,2064.75
NLinear,Medium,2465.1,2349.85,2367.81,2350.38,2325.16,2328.31,2329.07,2311.7,2321.93,2311.76
NLinear,Long,2574.63,2482.02,2505.47,2487.03,2464.65,2479.39,2461.21,2451.7,2457.53,2448.8
DLinear,Short,2081.31,1906.45,1944.95,1925.49,1972.44,1904.74,1908.14,1889.69,1929.53,1914.8
DLinear,Medium,2446.53,2339.22,2325.43,2340.89,2322.04,2329.08,2313.51,2299.46,2303.29,2301.15
DLinear,Long,2608.23,2505.07,2503.8,2533.51,2483.79,2499.7,2464.49,2460.32,2448.92,2455.51
LSTM,Short,1430.76,1228.79,1142.07,1101.02,1065.16,1026.96,1002.7,985.59,975.71,949.57
LSTM,Medium,1686.96,1497.76,1406.43,1406.11,1339.51,1289.75,1244.91,1198.14,1220.66,1167.91
LSTM,Long,1822.82,1662.37,1587.45,1567.77,1541.1,1474.69,1444.94,1430.25,1419.79,1385.93
TCN,Short,1308.27,1208.46,1102.33,1083.53,1030.97,973.01,971.63,952.59,949.34,915.75
TCN,Medium,1591.43,1478.14,1381.17,1339.37,1272.87,1197.2,1205.43,1169.32,1186.22,1142.61
TCN,Long,1792.14,1648.9,1586.69,1547.93,1493.52,1422.99,1445.18,1399.93,1393.92,1362.95
Transformer,Short,1254.34,1114.23,1121.45,972.18,950.93,954.68,927.45,916.05,916.32,908.35
Transformer,Medium,1496.81,1264.04,1342.13,1109.8,1108.93,1111.99,1080.36,1053.31,1050.2,1036.77
Transformer,Long,1692.55,1455.68,1530.67,1309.4,1341.54,1316.87,1304.49,1263.71,1293.22,1246.44
N-BEATS,Short,2587.52,2399.52,2209.72,2088.13,2016.67,2084.14,1825.04,1802.1,1794.69,1724.53
N-BEATS,Medium,2628.65,2573.81,2563.96,2355.55,2147.72,2363.4,1830.67,1814.68,1799.78,1753.79
N-BEATS,Long,2651.71,2711.0,2746.53,2557.23,2287.26,2552.07,1887.79,1881.01,1835.16,1848.62
N-HiTS,Short,2414.95,2170.13,2132.39,1912.84,1902.5,1870.5,1861.54,1839.97,1786.9,1724.55
N-HiTS,Medium,2522.85,2484.41,2419.7,1900.71,1942.01,1898.43,1889.1,1862.16,1809.46,1732.29
N-HiTS,Long,2608.28,2644.19,2527.27,1958.19,2079.87,1919.15,1928.26,1924.0,1887.05,1850.15
